epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.615,1.48457,1.48901,1.29687,0.6336,0.47214,0.4956,0.24301,1.64274,1.37237,1.45712,0.000665966,0.000665966,0.000665966
2,581.13,1.45888,1.30914,1.29532,0.66379,0.51062,0.54026,0.26585,1.58227,1.27898,1.40447,0.000892864,0.000892864,0.000892864
3,862.534,1.36385,1.19035,1.24785,0.71879,0.51726,0.5904,0.31962,1.45732,1.11661,1.3296,0.000679762,0.000679762,0.000679762
