epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.977,1.48457,1.48901,1.29687,0.6336,0.47214,0.4956,0.24301,1.64274,1.37237,1.45712,0.000665966,0.000665966,0.000665966
2,612.172,1.48484,1.34431,1.31547,0.63005,0.48715,0.52069,0.26254,1.60391,1.3021,1.43379,0.00106877,0.00106877,0.00106877
3,903.776,1.42688,1.26345,1.28729,0.6997,0.49475,0.55924,0.29744,1.55451,1.19781,1.39573,0.00120758,0.00120758,0.00120758
4,1213.91,1.35632,1.17801,1.24866,0.71134,0.52013,0.58482,0.31871,1.44548,1.0764,1.3077,0.000812,0.000812,0.000812
5,1477.22,1.27442,1.09153,1.20895,0.72801,0.55244,0.61584,0.34475,1.36531,1.01003,1.25824,0.000416,0.000416,0.000416
